shop_id,good_num,cmmt_num,consume,offer_cnt,ord_cnt
325,89.0,90.0,,213,293
326,175.0,185.0,,0,647
327,884.0,908.0,719214.67,2106,2585
328,112.0,115.0,2545413.0999999996,89,327
329,5475.0,5509.0,67538.08999999998,1246,1953
330,9842.0,10452.0,789309.71,3547,11510
331,465.0,475.0,,1122,1164
332,89.0,122.0,,24,355
333,97.0,102.0,,0,340
334,203.0,221.0,,681,692
335,1321.0,1359.0,1051540.2800000003,333,1344
336,3906.0,3949.0,582286.9700000001,4029,4981
337,400.0,457.0,2472783.4800000004,166,1205
338,191.0,236.0,9826.11,145,725
339,4143.0,4159.0,,1026,1291
340,112.0,114.0,,207,256
341,5655.0,5713.0,145.33999999999997,2149,4148
342,128.0,145.0,190286.98999999993,90,336
343,355.0,358.0,11739.56,676,678
344,718.0,799.0,22624.59,112,1903
345,161.0,191.0,,296,314
346,7136.0,7164.0,344831.61999999994,1070,1676
347,5003.0,5078.0,,1274,1928
348,223.0,228.0,181808.34,17,567
349,31165.0,31197.0,8147.12,4309,5106
350,1218.0,1512.0,,2261,5061
351,705.0,706.0,135957.11999999994,55,644
352,4449.0,4498.0,496316.91000000003,3714,6571
353,4466.0,4498.0,7564051.789999999,1428,3367
354,93.0,95.0,0.0,109,307
355,334.0,350.0,192373.68000000002,788,799
356,5541.0,5849.0,1431030.7899999998,2206,5704
357,1374.0,1411.0,,439,3402
358,865.0,885.0,,117,1445
359,489.0,490.0,20057.25,81,447
360,72.0,77.0,350115.87,242,242
361,193.0,201.0,,28,337
362,361.0,372.0,,0,493
363,1569.0,1587.0,30964.14,2810,2957
364,387.0,403.0,8481.639999999998,394,548
365,609.0,615.0,81836.5,249,299
366,86.0,96.0,,0,277
367,372.0,464.0,47486.8,1072,1409
368,7630.0,7647.0,34314.33,1732,2397
369,179.0,185.0,,413,414
370,67.0,78.0,,322,386
371,1360.0,1447.0,2437537.289999999,3557,5014
372,259.0,276.0,212018.42,161,868
373,803.0,945.0,,2716,2760
374,52.0,60.0,,201,215
375,189.0,240.0,,0,575
376,51.0,55.0,,51,155
377,166.0,179.0,,0,467
378,75.0,94.0,,235,630
379,135.0,141.0,,18,316
380,1125.0,1141.0,,1,932
381,11.0,11.0,,20,21
382,1062.0,1075.0,293146.68,1040,1092
383,1191.0,1297.0,3396422.16,485,3490
384,404.0,406.0,,0,839
385,479.0,498.0,141486.43000000002,82,861
386,1317.0,1368.0,,2867,3658
387,1856.0,1889.0,3672.8299999999995,765,3047
388,30.0,31.0,6616.86,76,106
389,3672.0,3833.0,,4678,5453
390,101.0,103.0,,121,123
391,115.0,130.0,,146,481
392,186.0,238.0,,1636,1636
393,246.0,256.0,,81,952
394,5647.0,5651.0,542277.04,1719,1938
395,269.0,295.0,,97,1020
396,256.0,317.0,,718,1188
397,2263.0,2529.0,,4814,5004
398,2956.0,3046.0,,1058,2017
399,1497.0,1504.0,231008.48,549,1210
400,284.0,285.0,879504.59,0,651
401,112.0,117.0,,142,295
402,6196.0,6205.0,155.9,1757,2790
403,6603.0,6624.0,,2957,3294
404,114.0,122.0,,290,383
405,1579.0,1590.0,1175402.8099999998,333,1194
406,8373.0,8397.0,533936.0800000001,2862,3473
407,6073.0,6175.0,,7794,9167
408,345.0,354.0,,187,602
409,348.0,349.0,,317,321
410,204.0,218.0,430666.97,273,495
411,285.0,325.0,,373,921
412,375.0,390.0,18881.17,300,651
413,3197.0,3228.0,,1862,2533
414,86.0,101.0,,79,190
415,179.0,185.0,,0,259
416,2969.0,3240.0,131461.19,1178,9880
417,770.0,783.0,,952,967
418,564.0,576.0,,245,1312
419,15266.0,15296.0,30433.019999999997,2829,3405
420,3502.0,3565.0,,729,3181
421,130.0,136.0,300984.19000000006,96,327
422,3875.0,3938.0,11648.130000000003,4097,7026
423,202.0,238.0,,481,746
424,83.0,84.0,20920.650000000005,262,270
425,446.0,448.0,,0,624
426,63.0,66.0,,4,151
427,3222.0,3239.0,483139.90000000014,1209,1292
428,35979.0,35993.0,,9653,10552
429,524.0,595.0,10674297.099999998,46,3606
430,249.0,252.0,,50,428
431,8151.0,8332.0,,5984,11661
432,4560.0,4603.0,10387.949999999999,789,2245
433,2390.0,2805.0,,1312,5263
434,3611.0,3806.0,414471.02999999997,2145,6395
435,155.0,164.0,,24,403
436,404.0,415.0,15153.61,373,548
437,115.0,143.0,,0,688
438,47.0,48.0,,109,111
439,145.0,146.0,,261,263
440,68.0,73.0,,0,267
441,132.0,142.0,,126,586
442,2346.0,2712.0,,3309,4767
443,242.0,303.0,,58,590
444,237.0,244.0,1081580.0699999998,182,359
445,229.0,244.0,,167,596
446,826.0,1075.0,,3655,4357
447,45.0,46.0,,0,122
448,3449.0,3463.0,,549,725
449,9115.0,9460.0,,6337,7321
450,182.0,192.0,1253608.2099999997,324,490
451,52.0,59.0,,166,301
452,3769.0,3808.0,497677.38,3951,4002
453,600.0,664.0,,32,1842
454,214.0,231.0,1328096.3099999998,388,883
455,1550.0,1810.0,,2295,4840
456,1526.0,1693.0,,291,5877
457,13.0,14.0,,0,68
458,739.0,754.0,,114,608
459,3257.0,3265.0,,1828,2195
460,179.0,180.0,,80,203
461,351.0,377.0,288119.16,3,650
462,8182.0,8216.0,0.0,5721,6482
463,96.0,98.0,,89,249
464,430.0,454.0,3465788.5600000015,18,831
465,193.0,198.0,,146,197
466,598.0,612.0,5090.52,779,1219
467,4068.0,4077.0,,3479,3575
468,14.0,15.0,11881.21,3,54
469,135.0,137.0,3377.88,42,293
470,4139.0,4414.0,110430.95000000003,4058,9023
471,1387.0,1421.0,3667235.3200000008,3192,3377
472,3813.0,4010.0,,4019,4065
473,3976.0,4045.0,308313.15,4225,4307
474,327.0,352.0,7110.419999999999,410,918
475,913.0,937.0,43055.99000000001,1228,1398
476,665.0,677.0,,271,464
477,153.0,156.0,,483,519
478,315.0,355.0,11229439.389999999,3187,3682
479,479.0,521.0,,418,821
480,1412.0,1610.0,,5589,5593
481,99.0,101.0,185187.79000000004,174,183
482,378.0,435.0,87669.42000000001,445,1299
483,240.0,245.0,17738.53,1,664
484,1285.0,1376.0,3391351.0799999996,1645,3393
485,1022.0,1033.0,1103285.2100000002,7,1605
486,915.0,919.0,,946,1177
487,27115.0,27129.0,463769.6500000001,2653,2964
488,101.0,105.0,64031.06,8,334
489,3960.0,3999.0,,2312,3308
490,49.0,59.0,,10,262
491,433.0,443.0,,1186,1381
492,223.0,234.0,23360.34,251,337
493,2722.0,2854.0,125.63,35,2992
494,155.0,166.0,271633.82000000007,515,550
495,734.0,868.0,,3184,3406
496,3760.0,3764.0,,635,777
497,645.0,788.0,,1564,2466
498,114.0,132.0,55.03999999999999,85,432
499,3983.0,4031.0,,2460,2657
500,154.0,177.0,,0,353
501,45.0,47.0,0.0,185,201
502,119.0,126.0,,0,374
503,1147.0,1155.0,,36,1695
504,2778.0,2818.0,82225.28,758,1360
505,267.0,304.0,36332.560000000005,24,560
506,234.0,252.0,293.7200000000001,232,575
507,875.0,939.0,457530.0900000001,848,1742
508,2531.0,3256.0,,8565,13438
509,69.0,76.0,,0,557
510,1963.0,1971.0,160218.33000000002,1961,2089
511,125.0,146.0,,349,435
512,109.0,116.0,23191.08,157,450
513,64.0,65.0,,182,185
514,52.0,54.0,,148,217
515,1561.0,1578.0,,173,2333
516,137.0,172.0,,19,643
517,4264.0,4323.0,41331.88000000002,202,4786
518,162.0,173.0,205839.47999999998,120,532
519,1054.0,1178.0,723932.64,99,2440
520,5841.0,5891.0,,1461,2229
521,680.0,700.0,821780.9400000001,1427,1446
522,2083.0,2090.0,25357.17,2173,2209
523,4908.0,4929.0,,3481,3661
524,68.0,75.0,,250,267
525,503.0,624.0,,392,2194
526,177.0,187.0,3976.68,456,475
527,538.0,545.0,412647.25000000006,95,1004
528,1676.0,2087.0,,3593,6535
529,8530.0,8592.0,619870.35,2889,3591
530,41.0,44.0,,94,158
531,34.0,42.0,,10,53
532,291.0,318.0,,0,994
533,159.0,181.0,,32,402
534,3457.0,3502.0,146757.77000000002,284,1141
535,1204.0,1220.0,,25,3818
536,108.0,152.0,,9,587
537,943.0,971.0,292665.01,1169,1188
538,137.0,159.0,60511.92,430,462
539,172.0,202.0,,15,533
540,5602.0,5950.0,,4814,6339
541,418.0,464.0,,0,1513
542,219.0,227.0,94759.04999999999,317,659
543,528.0,561.0,,959,1574
544,6670.0,6830.0,,5242,7818
545,61.0,64.0,,97,150
546,26.0,27.0,,45,123
547,55.0,62.0,,37,231
548,86.0,90.0,,0,309
549,573.0,611.0,812298.93,81,2685
550,3096.0,3293.0,139380.94000000003,1809,6296
551,2181.0,2189.0,,889,1501
552,90.0,100.0,655867.3799999999,165,268
553,234.0,239.0,,567,621
554,1016.0,1041.0,1151625.2799999998,2325,2520
555,862.0,891.0,,0,2076
556,588.0,600.0,,1091,1484
557,3155.0,3203.0,,1512,1854
558,107.0,138.0,232518.47999999995,323,521
559,612.0,622.0,6187.129999999999,379,1227
560,12752.0,13593.0,4122814.8100000005,5653,18198
561,3476.0,3488.0,84915.73000000001,1247,1412
562,687.0,735.0,,1105,1114
563,320.0,327.0,155191.26000000004,389,512
564,2012.0,2386.0,,2826,3266
565,315.0,327.0,315467.18,599,677
566,884.0,893.0,,91,247
567,3637.0,3857.0,247.25,607,7197
568,596.0,647.0,76290.37999999999,773,1046
569,827.0,856.0,0.0,59,2008
570,3569.0,3579.0,13295.88,2547,2884
571,686.0,708.0,1016769.52,2179,2344
572,1698.0,1724.0,182433.06999999998,22,2265
573,117.0,137.0,40256.79000000001,5,471
574,640.0,712.0,51560.090000000004,3030,3037
575,60.0,71.0,,0,224
576,1530.0,1904.0,,165,8719
577,32.0,34.0,1063.78,63,112
578,1120.0,1187.0,489753.71,222,1873
579,3191.0,3231.0,134275.06,1722,3321
580,287.0,295.0,874741.3000000002,1050,1059
581,726.0,804.0,5523911.0200000005,294,2275
582,542.0,557.0,,795,798
583,1846.0,1867.0,,3109,3127
584,125.0,171.0,248412.06,720,721
585,61.0,65.0,126881.77,86,304
586,712.0,764.0,1522185.0299999998,4,2698
587,82.0,99.0,,267,315
588,3641.0,3687.0,899869.89,852,2536
589,104.0,113.0,223196.11000000004,244,245
590,519.0,545.0,1280505.7399999998,66,1793
591,1126.0,1151.0,194690.34999999995,1,1975
592,504.0,516.0,510446.35,788,906
593,361.0,378.0,,0,713
594,2848.0,2925.0,656204.0800000002,1489,4506
595,18983.0,19085.0,0.0,2172,10260
596,1281.0,1329.0,731632.5800000002,1513,1990
597,577.0,649.0,328120.37999999995,33,1974
598,8281.0,8320.0,,2765,3310
599,47.0,58.0,,165,221
600,14100.0,14117.0,4479.37,1850,2228
601,150.0,164.0,20821.090000000004,10,511
602,791.0,822.0,309566.80000000005,1055,1318
603,2973.0,3923.0,,7294,12813
604,1539.0,1542.0,40276.439999999995,1682,1838
605,4002.0,4299.0,1438479.8700000006,10585,13401
606,165.0,203.0,2257766.4600000004,0,979
607,1977.0,1980.0,,132,262
608,335.0,352.0,523257.1499999999,152,736
609,66.0,96.0,0.0,0,389
610,11.0,14.0,0.0,48,84
611,429.0,433.0,98823.66000000005,111,563
612,8840.0,8937.0,,3643,4600
613,425.0,453.0,,331,678
614,5931.0,5943.0,155880.53,4114,4747
615,1792.0,1859.0,,2058,2709
616,99.0,108.0,1135684.8200000003,562,602
617,68.0,74.0,111098.29999999997,16,166
618,459.0,469.0,313815.7199999999,181,686
619,3031.0,3178.0,677098.6299999999,2568,4517
620,77.0,80.0,,102,102
621,138.0,174.0,,46,419
622,168.0,187.0,,70,943
623,278.0,283.0,42.45,112,484
624,12309.0,12369.0,,6779,7793
625,670.0,692.0,2245618.6999999983,1146,1263
626,69.0,72.0,126276.39999999998,377,394
627,1087.0,1177.0,293176.07999999996,826,2022
628,3395.0,3429.0,,2821,3567
629,659.0,732.0,2983148.3499999996,953,1539
630,4484.0,4507.0,,2786,3303
631,998.0,1043.0,,1511,1829
632,4263.0,4335.0,57694.01999999998,5558,5653
633,2819.0,2851.0,,2650,2853
634,5272.0,5357.0,,3139,4236
635,63.0,64.0,,6,156
636,4023.0,4165.0,9.64,2613,4938
637,31178.0,31195.0,13136.550000000003,4123,5512
638,7422.0,7557.0,721557.3400000001,3076,4988
639,505.0,629.0,,966,1688
640,1178.0,1195.0,1021.0999999999998,897,1002
641,4711.0,4782.0,230342.87999999995,1475,2651
642,38.0,44.0,,0,244
643,1073.0,1076.0,168294.66999999998,581,816
644,107.0,109.0,,13,343
645,767.0,967.0,,917,3806
646,124.0,149.0,978399.7800000001,75,770
647,1200.0,1206.0,19753.969999999998,1518,1875
648,71.0,74.0,,88,223
649,850.0,857.0,182.88,1086,1505
650,982.0,1105.0,,2763,2850
651,1016.0,1056.0,,837,908
652,3039.0,3058.0,,1423,1428
653,381.0,402.0,505.91000000000014,27,804
654,5664.0,5692.0,123323.96000000002,2986,3021
655,400.0,417.0,133247.13,450,742
656,2054.0,2059.0,,732,775
657,1535.0,2075.0,,3823,7561
658,99.0,108.0,,33,444
659,72.0,77.0,27592.989999999998,160,339
660,2462.0,2701.0,7136854.689999997,6848,7124
661,125.0,131.0,63322.31000000001,342,346
662,89.0,97.0,89133.76,373,386
663,2270.0,2350.0,161419.46000000005,799,2069
664,20965.0,21296.0,443524.9099999999,1460,9968
665,1773.0,1957.0,4652915.2799999975,1298,2802
666,1654.0,1657.0,57606.87,39,898
667,220.0,293.0,,0,1467
668,4761.0,4844.0,14.2,322,3080
669,783.0,942.0,,1347,3891
670,486.0,508.0,139588.55,194,495
671,4237.0,4318.0,27256.119999999995,3192,5933
672,14.0,18.0,,0,89
673,407.0,485.0,141282.55999999997,808,891
674,19.0,21.0,,44,99
675,314.0,328.0,17238.700000000004,299,841
676,641.0,704.0,448877.2300000001,6,1099
677,287.0,299.0,18910.909999999996,118,781
678,1149.0,1235.0,181732.44,1525,2822
679,277.0,317.0,33236.64,50,875
680,1261.0,1301.0,2298980.000000001,1292,2351
681,12444.0,12535.0,88152.86000000002,2182,3614
682,153.0,163.0,191725.32,0,893
683,47.0,50.0,1343479.08,1,315
684,128.0,154.0,,0,716
685,7549.0,7593.0,134021.81,1645,2376
686,3337.0,3450.0,71152.48,3476,7307
687,26.0,27.0,,2,144
688,3880.0,3894.0,496212.8699999998,4058,4386
689,91.0,125.0,6260.75,11,531
690,1835.0,1842.0,33097.44,3766,3772
691,516.0,551.0,209619.66000000003,216,633
692,5085.0,5114.0,,847,4279
693,2807.0,2964.0,,1876,5608
694,578.0,605.0,191136.53999999995,183,655
695,265.0,311.0,3119221.140000001,203,1408
696,451.0,453.0,,387,402
697,219.0,227.0,,534,647
698,2396.0,2399.0,525638.11,1019,2189
699,256.0,266.0,15465.539999999999,222,510
700,133.0,168.0,23998.230000000003,153,764
701,1176.0,1184.0,14505.85,773,784
702,261.0,330.0,266303.39,2143,2146
703,1174.0,1277.0,,79,3049
704,240.0,255.0,,677,844
705,901.0,964.0,,281,2462
706,46.0,55.0,,113,151
707,10310.0,10553.0,,5052,11378
708,312.0,371.0,,701,1407
709,495.0,628.0,,1013,2629
710,3747.0,3809.0,,1873,5886
