shop_id,good_num,cmmt_num,consume,offer_cnt,ord_cnt,sale_amt_3m,sale_amt_3m
201,2618,3245,136141.42,80,4155,138746.68,138746.68
202,1130,1151,0,1191,1803,248564.04,248564.04
203,61,62,1125.19,17,183,33024.99,33024.99
204,67,78,,11,392,30221.04,30221.04
205,26,33,,27,66,199461.58,199461.58
206,284,313,,270,332,29609.26,29609.26
207,986,1088,1167396,806,2430,139009.09,139009.09
208,3172,3230,,2834,3851,316062.5,316062.5
209,77,83,13322.46,188,250,33491.66,33491.66
210,2014,2064,47317.98,1171,1566,137549.13,137549.13
211,879,938,,1374,1387,26950.51,26950.51
212,1479,1512,66870.62,2624,2634,303912.7,303912.7
213,1782,1833,794404.19,468,2934,48590.78,48590.78
214,694,717,287533.17,583,847,74836.91,74836.91
215,135,150,,55,490,24149.53,24149.53
216,9562,9595,296039.13,1136,1569,38353.52,38353.52
217,1463,1631,332479.8,732,4239,97476.76,97476.76
218,2543,2726,239584.83,115,8017,194009.2,194009.2
219,190,234,67361.78,3,311,9781.29,9781.29
220,2264,2300,,2614,3316,168745.96,168745.96
221,148,159,1982296.56,26,828,92677.96,92677.96
222,3036,3080,45.14,1864,3623,229392.54,229392.54
223,1235,1263,45892.56,106,1302,34311.66,34311.66
224,2263,2334,,3423,4930,285423.49,285423.49
225,87,110,,25,497,26191.04,26191.04
226,63,67,,0,192,13117.82,13117.82
227,86,90,,179,274,37994.77,37994.77
228,2755,3779,,4387,13109,209992.18,209992.18
229,6743,6827,,3717,3738,157659.08,157659.08
230,3078,3260,112880.93,2970,7139,237001.01,237001.01
231,1326,1520,,36,4388,181490.77,181490.77
232,788,823,,0,2449,36579,36579
233,175,189,,217,341,15853.98,15853.98
234,687,759,,1,2203,143281.76,143281.76
235,46,48,21546.53,0,191,24847.21,24847.21
236,486,499,,0,1424,104036.49,104036.49
237,298,302,1558336.59,402,569,243654.31,243654.31
238,13930,13952,14.49,2742,3031,76590.86,76590.86
239,4149,4683,,4633,13891,331044.5,331044.5
240,24121,24197,,2867,4951,152313.3,152313.3
241,609,649,,1846,1910,124354.99,124354.99
242,35,40,,0,227,35396.31,35396.31
243,1040,1060,60029.76,366,1535,123922.55,123922.55
244,1182,1262,,248,1892,162059.85,162059.85
245,1951,2113,4853903.41,2933,4397,145397.18,145397.18
246,618,620,,0,608,58102.65,58102.65
247,338,391,,1640,2318,96449.86,96449.86
248,604,626,507367.05,983,1500,176785.8,176785.8
249,545,566,51443.15,78,1066,72610.31,72610.31
250,2833,2972,100.15,2,5830,243700.73,243700.73
251,1838,1871,,2442,2598,385161.09,385161.09
252,43,44,13551.9,4,185,50259.94,50259.94
253,561,569,,0,1169,292793.69,292793.69
254,66,80,,40,341,27026.91,27026.91
255,282,325,769656.74,1013,1013,55103.19,55103.19
256,1238,1278,4798227.56,1683,3568,239373.3,239373.3
257,193,209,,8,650,73014.11,73014.11
258,5031,5118,,2379,4406,282795.6,282795.6
259,248,271,120616.36,189,815,73304.35,73304.35
260,1405,1489,656155.62,3327,4218,146595.41,146595.41
261,75,85,,408,409,23216.78,23216.78
262,3963,4208,,0,6287,229329.77,229329.77
263,104,112,,5,356,17040.41,17040.41
264,21626,21682,,6793,7970,516204.58,516204.58
265,71,79,954651.89,3,551,54949.07,54949.07
266,187,193,,40,498,35108.88,35108.88
267,58,67,92.57,34,128,9470.4,9470.4
268,91,108,,37,587,29163.65,29163.65
269,755,764,,667,679,49953.42,49953.42
270,279,287,269.73,852,870,107974.57,107974.57
271,4853,4863,,2930,3197,257173.55,257173.55
272,272,282,,0,724,54950.8,54950.8
273,5317,5321,15648.01,495,592,26461.13,26461.13
274,67,69,,0,155,48430.71,48430.71
275,7650,7657,,852,1091,60483.05,60483.05
276,372,413,192768.83,175,504,43352.24,43352.24
277,1278,1341,14413709.84,699,3734,408328.56,408328.56
278,47,54,66651.98,11,173,21422.8,21422.8
279,2163,2311,,4280,4405,351208.56,351208.56
280,5254,5267,11278.05,3292,3961,417394.82,417394.82
281,1253,1413,,989,5989,207012.16,207012.16
282,772,840,117820.97,965,2101,129223.34,129223.34
283,1866,1868,,559,564,44346.36,44346.36
284,369,370,1717.4,139,274,45982.58,45982.58
285,188,189,29423.18,6,294,45521.68,45521.68
286,5276,5281,,1845,2346,108713.05,108713.05
287,4404,4417,757238.11,2079,2431,168538.64,168538.64
288,88077,88181,145996.28,9978,11867,355390.05,355390.05
289,3615,3644,55.15,466,598,56938.84,56938.84
290,23,27,,47,95,23815.59,23815.59
291,376,451,,1126,1380,85078.89,85078.89
292,4790,4821,163916.59,0,2318,175831.82,175831.82
293,747,778,862141.97,216,1763,99761.68,99761.68
294,36,38,,0,216,23072.23,23072.23
295,580,627,402659.83,378,1477,65276.89,65276.89
296,62,69,,59,282,93897.89,93897.89
297,607,702,,301,1808,73218.29,73218.29
298,2697,2705,,1917,2289,136737.71,136737.71
299,402,418,1070338.67,643,705,145413.36,145413.36
300,897,948,,963,1740,41719.86,41719.86
301,823,877,96768.58,1445,2085,119702.39,119702.39
302,1877,1931,,3208,3393,276467.86,276467.86
303,553,562,88604.76,151,478,34403.47,34403.47
304,920,1135,,775,4383,133154.42,133154.42
305,1828,1920,,8768,9742,544849.8,544849.8
306,1460,1468,21383.68,481,782,37412.72,37412.72
307,710,711,,334,521,36824.29,36824.29
308,585,588,168953.07,329,658,72237.05,72237.05
309,189,256,485915.53,34,503,35724.05,35724.05
310,261,322,4774.44,538,1183,65265.97,65265.97
311,7362,7371,207798.63,1668,1755,158582.91,158582.91
312,2171,2195,1329599.46,3743,3756,270731.74,270731.74
313,36,36,,132,132,47222.34,47222.34
314,500,502,555836.96,877,879,96462.75,96462.75
315,46,51,,74,214,36289.99,36289.99
316,348,388,,708,843,32230.51,32230.51
317,2443,2488,739433.2,3271,3299,194493.09,194493.09
318,3175,3439,,1283,3590,60429.28,60429.28
319,33,39,25654.57,4,100,29089.81,29089.81
320,223,244,442554.41,224,492,42895.98,42895.98
321,711,742,240766.4,1419,1723,177353.78,177353.78
322,107,113,64687.23,237,310,40843.49,40843.49
323,967,1006,,2616,3575,402756.22,402756.22
324,57,61,,154,222,23111.05,23111.05
325,89,90,,213,293,30239.96,30239.96
326,175,185,,0,647,82194.77,82194.77
327,884,908,719214.67,2106,2585,165306.68,165306.68
328,112,115,2545413.1,89,327,198594.32,198594.32
329,5475,5509,67538.09,1246,1953,100592.72,100592.72
330,9842,10452,789309.71,3547,11510,330452.29,330452.29
331,465,475,,1122,1164,97505.68,97505.68
332,89,122,,24,355,17842.28,17842.28
333,97,102,,0,340,48006.17,48006.17
334,203,221,,681,692,310011.14,310011.14
335,1321,1359,1051540.28,333,1344,87755.59,87755.59
336,3906,3949,582286.97,4029,4981,252501.56,252501.56
337,400,457,2472783.48,166,1205,227681.62,227681.62
338,191,236,9826.11,145,725,57578.19,57578.19
339,4143,4159,,1026,1291,52407.68,52407.68
340,112,114,,207,256,49093.13,49093.13
341,5655,5713,145.34,2149,4148,108374.94,108374.94
342,128,145,190286.99,90,336,25390.69,25390.69
343,355,358,11739.56,676,678,42589.27,42589.27
344,718,799,22624.59,112,1903,127641.25,127641.25
345,161,191,,296,314,14214.66,14214.66
346,7136,7164,344831.62,1070,1676,53126,53126
347,5003,5078,,1274,1928,51817.13,51817.13
348,223,228,181808.34,17,567,91481.15,91481.15
349,31165,31197,8147.12,4309,5106,123372.11,123372.11
350,1218,1512,,2261,5061,171723.94,171723.94
351,705,706,135957.12,55,644,139640.61,139640.61
352,4449,4498,496316.91,3714,6571,201205.76,201205.76
353,4466,4498,7564051.79,1428,3367,224990.2,224990.2
354,93,95,0,109,307,40438.27,40438.27
355,334,350,192373.68,788,799,74590.43,74590.43
356,5541,5849,1431030.79,2206,5704,88304.46,88304.46
357,1374,1411,,439,3402,247265.06,247265.06
358,865,885,,117,1445,49245.52,49245.52
359,489,490,20057.25,81,447,19329.75,19329.75
360,72,77,350115.87,242,242,20696.79,20696.79
361,193,201,,28,337,39654.94,39654.94
362,361,372,,0,493,26592.45,26592.45
363,1569,1587,30964.14,2810,2957,406127.48,406127.48
364,387,403,8481.64,394,548,90045.56,90045.56
365,609,615,81836.5,249,299,32581.29,32581.29
366,86,96,,0,277,21695.37,21695.37
367,372,464,47486.8,1072,1409,29927.56,29927.56
368,7630,7647,34314.33,1732,2397,187099.76,187099.76
369,179,185,,413,414,16204.83,16204.83
370,67,78,,322,386,51015.12,51015.12
371,1360,1447,2437537.29,3557,5014,276385.31,276385.31
372,259,276,212018.42,161,868,119246.75,119246.75
373,803,945,,2716,2760,120480.34,120480.34
374,52,60,,201,215,17480.52,17480.52
375,189,240,,0,575,65265.33,65265.33
376,51,55,,51,155,15004.3,15004.3
377,166,179,,0,467,41873.45,41873.45
378,75,94,,235,630,42865.42,42865.42
379,135,141,,18,316,70453.15,70453.15
380,1125,1141,,1,932,173265.58,173265.58
381,11,11,,20,21,11550.16,11550.16
382,1062,1075,293146.68,1040,1092,78376.46,78376.46
383,1191,1297,3396422.16,485,3490,188416.49,188416.49
384,404,406,,0,839,157068.6,157068.6
385,479,498,141486.43,82,861,248011.56,248011.56
386,1317,1368,,2867,3658,404578.47,404578.47
387,1856,1889,3672.83,765,3047,166654.8,166654.8
388,30,31,6616.86,76,106,23528.99,23528.99
389,3672,3833,,4678,5453,331600.45,331600.45
390,101,103,,121,123,9102.85,9102.85
391,115,130,,146,481,56449.08,56449.08
392,186,238,,1636,1636,125916.42,125916.42
393,246,256,,81,952,82351.04,82351.04
394,5647,5651,542277.04,1719,1938,52335.41,52335.41
395,269,295,,97,1020,74394.61,74394.61
396,256,317,,718,1188,61353.07,61353.07
397,2263,2529,,4814,5004,120490.16,120490.16
398,2956,3046,,1058,2017,76849.35,76849.35
399,1497,1504,231008.48,549,1210,68033.11,68033.11
400,284,285,879504.59,0,651,79401.55,79401.55
401,112,117,,142,295,10750.77,10750.77
402,6196,6205,155.9,1757,2790,286589.45,286589.45
403,6603,6624,,2957,3294,184190.51,184190.51
404,114,122,,290,383,15193.45,15193.45
405,1579,1590,1175402.81,333,1194,112109.59,112109.59
406,8373,8397,533936.08,2862,3473,246130.86,246130.86
407,6073,6175,,7794,9167,524992.91,524992.91
408,345,354,,187,602,64050.35,64050.35
409,348,349,,317,321,35878.17,35878.17
410,204,218,430666.97,273,495,29878.93,29878.93
411,285,325,,373,921,51595.69,51595.69
412,375,390,18881.17,300,651,45054.99,45054.99
413,3197,3228,,1862,2533,157125.18,157125.18
414,86,101,,79,190,20772.77,20772.77
415,179,185,,0,259,43634.39,43634.39
416,2969,3240,131461.19,1178,9880,316955.29,316955.29
417,770,783,,952,967,73771.84,73771.84
418,564,576,,245,1312,256198.26,256198.26
419,15266,15296,30433.02,2829,3405,825691.94,825691.94
420,3502,3565,,729,3181,270852.19,270852.19
421,130,136,300984.19,96,327,19566.45,19566.45
422,3875,3938,11648.13,4097,7026,228376.54,228376.54
423,202,238,,481,746,71053.29,71053.29
424,83,84,20920.65,262,270,25545.47,25545.47
425,446,448,,0,624,59425.83,59425.83
426,63,66,,4,151,35587.52,35587.52
427,3222,3239,483139.9,1209,1292,141412.87,141412.87
428,35979,35993,,9653,10552,436674.27,436674.27
429,524,595,10674297.1,46,3606,327481.71,327481.71
430,249,252,,50,428,52180.22,52180.22
431,8151,8332,,5984,11661,228995.02,228995.02
432,4560,4603,10387.95,789,2245,89011.34,89011.34
433,2390,2805,,1312,5263,71531.11,71531.11
434,3611,3806,414471.03,2145,6395,484306.44,484306.44
435,155,164,,24,403,10493.93,10493.93
436,404,415,15153.61,373,548,21958.02,21958.02
437,115,143,,0,688,91567.79,91567.79
438,47,48,,109,111,20476.59,20476.59
439,145,146,,261,263,32089.19,32089.19
440,68,73,,0,267,17845.59,17845.59
441,132,142,,126,586,54641.89,54641.89
442,2346,2712,,3309,4767,69674.99,69674.99
443,242,303,,58,590,37942.73,37942.73
444,237,244,1081580.07,182,359,113414.32,113414.32
445,229,244,,167,596,41084.99,41084.99
446,826,1075,,3655,4357,77038.33,77038.33
447,45,46,,0,122,13847.14,13847.14
448,3449,3463,,549,725,34693.42,34693.42
449,9115,9460,,6337,7321,144882.29,144882.29
450,182,192,1253608.21,324,490,99744,99744
451,52,59,,166,301,35163.39,35163.39
452,3769,3808,497677.38,3951,4002,318759.45,318759.45
453,600,664,,32,1842,131383.87,131383.87
454,214,231,1328096.31,388,883,105430.06,105430.06
455,1550,1810,,2295,4840,107157.69,107157.69
456,1526,1693,,291,5877,184662.94,184662.94
457,13,14,,0,68,16349.78,16349.78
458,739,754,,114,608,28607.41,28607.41
459,3257,3265,,1828,2195,129783.58,129783.58
460,179,180,,80,203,109993.86,109993.86
461,351,377,288119.16,3,650,91333.3,91333.3
462,8182,8216,0,5721,6482,332176.89,332176.89
463,96,98,,89,249,276571.52,276571.52
464,430,454,3465788.56,18,831,95481.25,95481.25
465,193,198,,146,197,37295.18,37295.18
466,598,612,5090.52,779,1219,82332.29,82332.29
467,4068,4077,,3479,3575,237862.68,237862.68
468,14,15,11881.21,3,54,10763.85,10763.85
469,135,137,3377.88,42,293,39303.91,39303.91
470,4139,4414,110430.95,4058,9023,79350.95,79350.95
471,1387,1421,3667235.32,3192,3377,449137.97,449137.97
472,3813,4010,,4019,4065,133451.01,133451.01
473,3976,4045,308313.15,4225,4307,238352.84,238352.84
474,327,352,7110.42,410,918,62110.18,62110.18
475,913,937,43055.99,1228,1398,46895.67,46895.67
476,665,677,,271,464,25749.15,25749.15
477,153,156,,483,519,44579.36,44579.36
478,315,355,11229439.39,3187,3682,513173.41,513173.41
479,479,521,,418,821,56400.35,56400.35
480,1412,1610,,5589,5593,127908.25,127908.25
481,99,101,185187.79,174,183,116123.69,116123.69
482,378,435,87669.42,445,1299,61449.83,61449.83
483,240,245,17738.53,1,664,135292.29,135292.29
484,1285,1376,3391351.08,1645,3393,101382.15,101382.15
485,1022,1033,1103285.21,7,1605,86010.02,86010.02
486,915,919,,946,1177,202134.37,202134.37
487,27115,27129,463769.65,2653,2964,151606.05,151606.05
488,101,105,64031.06,8,334,65716.3,65716.3
489,3960,3999,,2312,3308,270809.75,270809.75
490,49,59,,10,262,12021.78,12021.78
491,433,443,,1186,1381,127294.4,127294.4
492,223,234,23360.34,251,337,17894.32,17894.32
493,2722,2854,125.63,35,2992,168875.63,168875.63
494,155,166,271633.82,515,550,133148.69,133148.69
495,734,868,,3184,3406,83128.64,83128.64
496,3760,3764,,635,777,57892.85,57892.85
497,645,788,,1564,2466,66657.79,66657.79
498,114,132,55.04,85,432,52573.7,52573.7
499,3983,4031,,2460,2657,295728.31,295728.31
500,154,177,,0,353,17219.68,17219.68
501,45,47,0,185,201,32643.96,32643.96
502,119,126,,0,374,21357.96,21357.96
503,1147,1155,,36,1695,377371.51,377371.51
504,2778,2818,82225.28,758,1360,30737.1,30737.1
505,267,304,36332.56,24,560,30307.3,30307.3
506,234,252,293.72,232,575,119780.85,119780.85
507,875,939,457530.09,848,1742,340491.78,340491.78
508,2531,3256,,8565,13438,320147.1,320147.1
509,69,76,,0,557,54307.38,54307.38
510,1963,1971,160218.33,1961,2089,115803.55,115803.55
511,125,146,,349,435,68696.23,68696.23
512,109,116,23191.08,157,450,41809.77,41809.77
513,64,65,,182,185,27491.09,27491.09
514,52,54,,148,217,27059.12,27059.12
515,1561,1578,,173,2333,192155.18,192155.18
516,137,172,,19,643,33733.83,33733.83
517,4264,4323,41331.88,202,4786,364416.4,364416.4
518,162,173,205839.48,120,532,62562.8,62562.8
519,1054,1178,723932.64,99,2440,76391.71,76391.71
520,5841,5891,,1461,2229,112740.51,112740.51
521,680,700,821780.94,1427,1446,184665.99,184665.99
522,2083,2090,25357.17,2173,2209,169396.81,169396.81
523,4908,4929,,3481,3661,326863.68,326863.68
524,68,75,,250,267,16756.57,16756.57
525,503,624,,392,2194,51414.47,51414.47
526,177,187,3976.68,456,475,32260.65,32260.65
527,538,545,412647.25,95,1004,91556.31,91556.31
528,1676,2087,,3593,6535,133741.68,133741.68
529,8530,8592,619870.35,2889,3591,237514.16,237514.16
530,41,44,,94,158,39406.32,39406.32
531,34,42,,10,53,12120.07,12120.07
532,291,318,,0,994,43277.58,43277.58
533,159,181,,32,402,30483.53,30483.53
534,3457,3502,146757.77,284,1141,67074.34,67074.34
535,1204,1220,,25,3818,246584.64,246584.64
536,108,152,,9,587,67757.24,67757.24
537,943,971,292665.01,1169,1188,47808.52,47808.52
538,137,159,60511.92,430,462,97641.12,97641.12
539,172,202,,15,533,65050.58,65050.58
540,5602,5950,,4814,6339,103775.41,103775.41
541,418,464,,0,1513,145732.36,145732.36
542,219,227,94759.05,317,659,47188.8,47188.8
543,528,561,,959,1574,278262.04,278262.04
544,6670,6830,,5242,7818,373452.93,373452.93
545,61,64,,97,150,94595,94595
546,26,27,,45,123,65645.27,65645.27
547,55,62,,37,231,33033.5,33033.5
548,86,90,,0,309,12861.53,12861.53
549,573,611,812298.93,81,2685,78283.54,78283.54
550,3096,3293,139380.94,1809,6296,142621.73,142621.73
551,2181,2189,,889,1501,95939.18,95939.18
552,90,100,655867.38,165,268,42056.81,42056.81
553,234,239,,567,621,28289.79,28289.79
554,1016,1041,1151625.28,2325,2520,160691.21,160691.21
555,862,891,,0,2076,313217.09,313217.09
556,588,600,,1091,1484,198838.81,198838.81
557,3155,3203,,1512,1854,128173.88,128173.88
558,107,138,232518.48,323,521,30963.2,30963.2
559,612,622,6187.13,379,1227,148136.72,148136.72
560,12752,13593,4122814.81,5653,18198,545695.87,545695.87
561,3476,3488,84915.73,1247,1412,69264.6,69264.6
562,687,735,,1105,1114,128218.41,128218.41
563,320,327,155191.26,389,512,51596.68,51596.68
564,2012,2386,,2826,3266,32378.11,32378.11
565,315,327,315467.18,599,677,200470.73,200470.73
566,884,893,,91,247,21318.73,21318.73
567,3637,3857,247.25,607,7197,158512.37,158512.37
568,596,647,76290.38,773,1046,31875.1,31875.1
